site,reach,D50,gap_fraction,count,lux,tn,turbidity,depth_cm_mean,depth,S,total_biomass_g
Palmer,Lit,31,83.739,196,0.477477778,0.235016637,1.543333333,16.33333333,-0.057753943,8,856.2
Palmer,Unlit,42.86666667,89.051,199,0.015711111,0.213892413,2.503333333,10.91666667,-0.766112703,12,639.6
Ritas,Lit,14.2875,9.393333333,111,0.643225,-0.749274691,1.69,8.6,-1.069072296,12,1156.6
Ritas,Unlit,20.4,19.846,112,0.000566667,-0.820122087,5.163333333,8.25,-1.114843169,9,289
Ritas,Lit,14.2875,12.536,93,0.241241667,-0.699161532,3.67,33.66666667,2.20899409,10,1590
Ritas,Unlit,20.4,8.458333333,65,0.004125,-0.656588097,3.11,7.333333333,-1.234719267,8,92.7
Ritas,Lit,14.2875,90.15666667,124,1.365541667,-0.195105056,6.603333333,34.66666667,2.339768015,14,640.7
Ritas,Unlit,20.4,89.188,58,0,-0.16098131,5.483333333,11.5,-0.689827913,5,205.9
Ritas,Lit,14.2875,87.957,337,1.221561111,-0.281714374,8.553333333,34.66666667,2.339768015,22,1955.22
Ritas,Unlit,20.4,69.26666667,133,0.025061111,-0.406834775,11.27333333,11.5,-0.689827913,10,322.67
Sycamore,Lit,132.6666667,26.14366667,106,3.189636842,0.765007159,2.656666667,11.16666667,-0.733419222,3,107.9
Sycamore,Unlit,51.66666667,15.256,71,0.003973684,0.727633533,2.99,14.2,-0.336738316,3,230.5
Sycamore,Lit,132.6666667,22.525,39,2.518772727,1.96281564,12.66666667,14.11111111,-0.348362665,3,40.2
Sycamore,Unlit,51.66666667,11.36666667,24,0.023241667,1.943316356,20.93333333,19.33333333,0.334567832,3,31.6
Sycamore,Lit,132.6666667,86.11866667,2,3.063304348,1.576079852,5.863333333,26.16666667,1.228189653,1,7.2
Sycamore,Unlit,51.66666667,83.43866667,0,0,1.483458256,4.226666667,32.75,2.089117992,0,0
Sycamore,Lit,132.6666667,90.094,32,2.193372222,4.547608148,7.956666667,26.16666667,1.228189653,2,54.5
Sycamore,Unlit,51.66666667,86.03233333,63,0.107416667,4.932718995,12.48,32.75,2.089117992,5,117.8
VFW,Lit,40.66666667,13.00166667,252,2.003120833,-0.795747983,3.076666667,13.35,-0.447896152,5,871.3
VFW,Unlit,72.66666667,15.192,111,0.004625,-0.818172159,1.953333333,13.95,-0.369431797,6,776.3
VFW,Lit,40.66666667,10.461,73,0.424525,-0.466470084,1.046666667,15.3,-0.192886999,9,460.5
VFW,Unlit,72.66666667,14.21833333,55,0.038183333,-0.323475339,0.824,9.333333333,-0.973171417,8,484.9
VFW,Lit,40.66666667,86.73466667,147,2.68875,-0.399847532,3.866666667,23.41666667,0.868561359,8,710.5
VFW,Unlit,72.66666667,91.57633333,77,0,-0.32835016,3.41,20.33333333,0.465341757,4,622.9
VFW,Lit,40.66666667,88.59033333,169,5.268333333,0.093646832,-0.663333333,23.41666667,0.868561359,14,678.1
VFW,Unlit,72.66666667,89.274,57,0.095955556,0.462508276,-0.98,20.33333333,0.465341757,7,550.8
