county,1980,1990,2000,2010,2020,pct_chg
Jasper,30781,31102,35552,35710,35353,0.148533186
Jeff Davis,1647,1946,2233,2342,2408,0.462052216
Jefferson,248651,239397,251667,252273,250803,0.008654701
Jim Hogg,5168,5109,5275,5300,5079,-0.017221362
Jim Wells,36498,37679,39361,40838,39759,0.089347361
Johnson,67649,97165,127627,150934,175987,1.601472306
Jones,17268,16490,20754,20202,19745,0.143444522
Karnes,13593,12455,15403,14824,15778,0.160744501
Kaufman,39038,52220,72270,103350,140667,2.603335212
Kendall,10635,14589,23980,33410,47700,3.485190409
Kenedy,543,460,420,416,378,-0.303867403
Kent,1145,1010,833,808,754,-0.341484716
Kerr,28780,36304,43848,49625,53024,0.842390549
Kimble,4063,4122,4484,4607,4581,0.127492001
King,425,354,358,286,275,-0.352941176
Kinney,2279,3119,3387,3598,3594,0.577007459
Kleberg,33358,30274,31590,32061,32158,-0.03597338
Knox,5329,4837,4253,3719,3796,-0.287671233
La Salle,5514,5254,5898,6886,7391,0.340406239
Lamar,42156,43949,48596,49793,50436,0.196413322
Lamb,18669,15072,14663,13977,12412,-0.335154534
Lampasas,12005,13521,17900,19677,21395,0.782174094
Lavaca,19004,18690,19190,19263,20511,0.079299095
Lee,10952,12854,15701,16612,17432,0.591672754
Leon,9594,12665,15395,16801,17649,0.839587242
Liberty,47088,52726,70576,75643,93496,0.985558953
Limestone,20224,20946,22053,23384,23654,0.169600475
Lipscomb,3766,3143,3025,3302,3153,-0.162772172
Live Oak,9606,9556,12233,11531,12208,0.270872371
Llano,10144,11631,17077,19301,21890,1.157925868
Loving,91,107,65,82,96,0.054945055
Lubbock,211651,222636,243109,278831,309880,0.464108367
Lynn,8605,6758,6489,5915,6243,-0.274491575
Madison,10649,10931,12967,13664,14088,0.322941121
Marion,10360,9984,10950,10546,9662,-0.067374517
Martin,4684,4956,4720,4799,5739,0.225234842
Mason,3683,3423,3734,4012,4318,0.172413793
Matagorda,37828,36928,37873,36702,36158,-0.044147193
Maverick,31398,36378,47343,54258,58116,0.85094592
McCulloch,8735,8778,8175,8283,8313,-0.048311391
McLennan,170755,189123,213967,234906,255372,0.49554625
McMullen,789,817,843,707,748,-0.051964512
Medina,23164,27312,39484,46006,54612,1.357623899
Menard,2346,2252,2342,2242,2124,-0.094629156
Midland,82636,106611,115560,136872,179232,1.168933637
Milam,22732,22946,24290,24757,25157,0.106677811
Mills,4477,4531,5107,4936,4875,0.088898816
Mitchell,9088,8016,9628,9403,8685,-0.04434419
Montague,17410,17274,19166,19719,19712,0.13222286
Montgomery,127222,182201,297296,455746,609172,3.788259892
Moore,16575,17865,20121,21904,20902,0.261055807
Morris,14629,13200,13027,12934,12468,-0.147720282
Motley,1950,1532,1435,1210,1196,-0.386666667
Nacogdoches,46786,54753,59224,64524,64850,0.386098406
Navarro,35323,39926,45202,47735,52973,0.499674433
Newton,13254,13569,15038,14445,13103,-0.011392787
Nolan,17359,16594,15947,15216,14150,-0.184860879
Nueces,268215,291145,313673,340223,363776,0.35628507
Ochiltree,9588,9128,8988,10223,10246,0.068627451
Oldham,2283,2278,2186,2052,2131,-0.066579063
Orange,83838,80509,84930,81837,82168,-0.019919368
Palo Pinto,24062,25055,27074,28111,29069,0.208087441
Panola,20724,22035,22764,23796,24611,0.187560317
Parker,44609,64785,89159,116927,143504,2.216929319
Parmer,11038,9863,9991,10269,9325,-0.155191158
Pecos,14618,14675,16667,15507,15033,0.028389657
Polk,24407,30687,41539,45413,50717,1.077969435
Potter,98637,97874,113762,121073,115471,0.17066618
Presidio,5188,6637,7355,7818,6302,0.214726291
Rains,4839,6715,9196,10914,12493,1.581731763
Randall,75062,89673,104609,120725,138549,0.845794144
Reagan,4135,4514,3290,3367,3895,-0.058041112
Real,2469,2412,3067,3309,3464,0.402997165
Red River,16101,14317,14297,12860,11479,-0.287062915
Reeves,15801,15852,13115,13783,16400,0.037908993
Refugio,9289,7976,7827,7383,6844,-0.263214555
Roberts,1187,1025,884,929,832,-0.299073294
Robertson,14653,15511,16062,16622,17613,0.202006415
Rockwall,14528,25604,43755,78337,105969,6.294121696
Runnels,11872,11294,11458,10501,10218,-0.139319407
Rusk,41382,43735,47456,53330,54764,0.323377314
Sabine,8702,9586,10388,10834,10859,0.247874052
San Augustine,8785,7999,8959,8865,8409,-0.042800228
San Jacinto,11434,16372,22549,26384,29652,1.593318174
San Patricio,58013,58749,67333,64804,67033,0.155482392
San Saba,5841,5401,6268,6131,6223,0.06539976
Schleicher,2820,2990,2929,3461,2727,-0.032978723
Scurry,18192,18634,16251,16921,16556,-0.089929639
Shackelford,3915,3316,3297,3378,3415,-0.127713921
Shelby,23084,22034,25212,25448,24054,0.042020447
Sherman,3174,2858,3181,3034,3072,-0.032136106
Smith,128366,151309,175658,209714,232675,0.812590561
Somervell,4154,5360,6940,8490,9605,1.312229177
Starr,27266,40518,53733,60968,63688,1.335802831
Stephens,9926,9010,9636,9630,9506,-0.042313117
Sterling,1206,1438,1358,1143,1239,0.027363184
Stonewall,2406,2013,1664,1490,1380,-0.426433915
Sutton,5130,4135,4024,4128,3619,-0.29454191
Swisher,9723,8133,8341,7854,7435,-0.235318317
Tarrant,860880,1170103,1456919,1809034,2063496,1.396961249
Taylor,110932,119655,126649,131506,139083,0.253768074
Terrell,1595,1410,1059,984,776,-0.513479624
Terry,14581,13218,12705,12651,12538,-0.140113847
Throckmorton,2053,1880,1831,1641,1407,-0.314661471
Titus,21442,24009,28138,32334,33596,0.566831452
Tom Green,84784,98458,104083,110224,117791,0.389306945
Travis,419573,576407,819692,1024266,1285526,2.063891146
Trinity,9450,11445,13793,14585,14457,0.52984127
Tyler,16223,16646,20854,21766,22966,0.415644455
Upshur,28595,31370,35402,39309,41262,0.442979542
Upton,4619,4447,3376,3355,3581,-0.224723966
Uvalde,22441,23340,25900,26405,26260,0.170179582
Val Verde,35910,38721,45020,48879,50988,0.419883041
Van Zandt,31426,37944,48324,52579,56503,0.797969834
Victoria,68807,74361,83937,86793,90940,0.321667854
Walker,41789,50917,61768,67861,77300,0.849769078
Waller,19798,23390,32843,43205,55626,1.809677745
Ward,13976,13115,10808,10658,11635,-0.167501431
Washington,21998,26154,30423,33718,35612,0.618874443
Webb,99258,133239,194576,250304,280547,1.826442201
Wharton,40242,39955,41220,41280,41279,0.025769097
Wheeler,7137,5879,5253,5410,5168,-0.275886227
Wichita,121082,122378,131817,131500,132756,0.096414
Wilbarger,15931,15121,14613,13535,12393,-0.222082732
Willacy,17495,17705,20076,22134,21502,0.229036868
Williamson,76521,139551,255379,422679,602686,6.876086303
Wilson,16756,22650,32721,42918,52839,2.153437575
Winkler,9944,8626,7083,7110,8145,-0.180913113
Wise,26575,34679,49373,59127,70078,1.636989652
Wood,24697,29380,36811,41964,45528,0.843462769
Yoakum,8299,8786,7274,7879,8773,0.057115315
Young,19083,18126,17846,18550,19294,0.011056962
Zapata,6628,9279,12088,14018,14280,1.154496077
Zavala,11666,12162,11636,11677,12077,0.035230585
